"id","geo_geoname_id","language","name","alternate_name","created_at","updated_at"
"1618","711867","en","Bohuslav",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1619","711867","ru","Богуслав",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1620","711867","uk","Богуслав",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1621","711887","uk","Богородчани",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1622","711887","ru","Богородчани",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1623","711894","en","Bohodukhiv",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1624","711894","ru","Богодухов",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1625","711894","uk","Богодухів",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1626","711894","ru","Богодухів",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1627","711962","ru","Бахчи-Эли",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1628","711962","en","Bogatoye",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1629","711962","ru","Богатое",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1630","711962","uk","Багате",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1631","711989","en","Bobrynets'",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1632","711989","ru","Бобринец",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1633","711989","uk","Бобринець",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1634","711999","en","Bobrovytsya",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1635","711999","ru","Бобровица",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1636","711999","uk","Бобровиця",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1637","711999","ru","Бобровиця",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1638","712041","en","Blyznyuky",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1639","712041","ru","Близнюки",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1640","712041","uk","Близнюки",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1641","712160","ru","Белгород-Днестровский",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1642","712160","uk","Білгород-Дністровський",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1643","712165","en","Bila Tserkva",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1644","712165","ru","Белая Церковь",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1645","712165","uk","Біла Церква",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1646","712228","ru","Донское",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1647","712228","uk","Донське",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1648","712228","ru","Кернеуч",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1649","712228","en","Donskoye",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1650","712250","uk","Бершадь",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1651","712260","uk","Берислав",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1652","712260","ru","Берислав",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1653","712312","ru","Березовка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1654","712312","uk","Березівка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1655","712332","uk","Березне",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1656","712332","ru","Березне",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1657","712339","uk","Березнегувате",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1658","712339","ru","Березнеговатое",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1659","712387","uk","Березанка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1660","712387","ru","Березанка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1661","712423","en","Berehove",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1662","712423","ru","Берегово",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1663","712423","uk","Берегове",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1664","712441","en","Berdychiv",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
